ID,mode,species,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,ld_PC1,ld_PC2,ld_PC3,ld_PC4,ld_PC5,ld_PC6,ld_PC7,ld_PC8,ld_PC9,ld_PC10,ID_down,species_down,mode_down,down_PC1,down_PC2,down_PC3,down_PC4,down_PC5,down_PC6,down_PC7,down_PC8,down_PC9,down_PC10,downLD_PC1,downLD_PC2,downLD_PC3,downLD_PC4,downLD_PC5,downLD_PC6,downLD_PC7,downLD_PC8,downLD_PC9,downLD_PC10,,,,,,,,,,,,
NE_F1_263_Lsb,1,2,0.0243028,2.24E-05,0.0503646,0.00627984,0.0122681,0.113823,-0.155547,0.199333,0.0779813,0.327017,0.0202106,-0.00539722,0.0463477,-0.00168321,0.00407917,-0.017001,0.0470331,-0.00506331,0.00303401,0.183327,NOR_Lsax_F_4,2,1,0.0644269,0.0129387,0.00311869,-0.0345863,-0.0265488,-0.0366241,0.0443266,0.0550486,0.00350091,0.0237924,0.0665155,0.0163605,0.0122224,0.0463429,-0.0175508,-0.0382666,-0.00393456,0.026867,0.0426505,-0.0694187,,,,,,,,,,,,
NE_F1_333_Ls,1,2,0.0318382,-0.00622602,-0.012336,0.021517,0.00619485,0.178003,0.00365635,0.176476,-0.0770698,0.24038,0.0302015,-0.00994229,-0.012972,0.0189707,-0.000860294,0.0377141,0.100336,0.00640824,0.00595672,0.124503,OBI_12_5,2,1,0.0593831,0.00381998,-0.025019,0.0609127,-0.0252084,-0.0291368,0.0285286,0.0495255,0.0165767,0.0178418,0.0633551,0.0120789,-0.0494847,-0.0494145,-0.0124916,0.0158336,0.024785,0.0247491,0.0612392,-0.0422026,,,,,,,,,,,,
NE_W1_331_Lsax_F,1,2,0.0375873,-0.00922298,0.0668853,0.000191381,0.0305446,0.0753032,-0.082903,0.122036,0.0540993,-0.147286,0.0304355,-0.0136757,0.0676876,-0.00602239,0.0211915,-0.0121904,0.0445766,-0.00152257,-0.00141217,0.192405,STA_Lsax_F_1,2,1,0.0769335,0.0345384,0.0184862,-0.0468014,0.00484162,-0.0405849,0.00483165,0.011502,0.0158941,0.0512262,0.0746684,0.0353153,0.02994,0.0524995,0.0120226,-0.0254937,0.0135069,-0.00424025,0.0120248,-0.0167083,,,,,,,,,,,,
NE_W1_356_Lsax_M,1,2,0.0399506,-0.00875676,0.0616106,0.00138836,0.0287601,0.0785883,-0.0744014,0.124189,0.0528651,-0.156894,0.0329799,-0.0135992,0.0613559,-0.004308,0.0188751,-0.0073059,0.0460779,3.77E-05,-0.00156624,0.188679,STA_Lsax_F_2,2,1,0.0713584,0.0353147,0.0189927,-0.0512478,0.0129499,-0.0182512,-0.00298364,-0.00490909,-0.000415926,0.0319064,0.0695333,0.0357669,0.0312365,0.0543211,0.0156048,-0.0187035,0.000980486,-0.0120032,-0.0101345,-0.0189578,,,,,,,,,,,,
NOR_Lsax_F_1,1,2,0.0449417,-0.00780486,0.0594841,-0.00109467,0.0164039,-0.013696,0.0122356,-0.0474241,0.0160685,0.0335262,0.0388014,-0.0125468,0.060699,-0.00367149,0.0133495,-0.00159531,-0.00314682,-0.00443309,-0.00557691,-0.036435,TCF_4,2,1,0.0732953,0.0716912,0.0540695,-0.101621,0.0528341,0.0353955,-0.0560396,-0.0921576,-0.016022,0.108079,0.067438,0.060623,0.0720613,0.0801697,0.0387903,-0.00340679,-0.010047,-0.0389841,-0.0690441,0.0147503,,,,,,,,,,,,
NOR_Lsax_F_3,1,2,0.0443156,-0.00750716,0.0686104,-0.00209557,0.0149071,-0.0106095,0.00600689,-0.0470239,0.0202339,0.0351441,0.0380342,-0.0124994,0.07084,-0.00491751,0.0108744,-0.00366204,-0.00133933,-0.00475326,-0.00618494,-0.0300541,TF9_157_Ls,2,1,0.0642577,0.0141964,0.00115093,-0.0305835,-0.0283488,-0.0431165,0.0457217,0.0680845,0.0106325,0.0313993,0.0654214,0.0174672,0.00970022,0.0434635,-0.0189341,-0.0367311,0.0010635,0.0289557,0.0574877,-0.0652935,,,,,,,,,,,,
OBI_12_5,1,2,0.0414652,-0.00796132,0.0593585,0.00422818,0.0146061,0.0472952,-0.0256095,0.0465931,0.0114069,-0.0209631,0.0350932,-0.0123871,0.0577509,-0.000138321,0.00575245,0.00180972,0.0237905,0.000501792,0.000633661,0.062705,TF_155_La,2,1,0.0557032,0.0177915,-0.00451115,-0.0307761,-0.0220444,-0.0196718,0.0494018,0.0665088,-0.00177934,0.0279425,0.0578532,0.0204998,0.00584692,0.0439045,-0.0161241,-0.0283786,-0.0137843,0.0279255,0.0508393,-0.0625416,,,,,,,,,,,,
PSM2_4_4,1,2,0.0401778,-0.00631805,0.055394,0.004406,0.000515021,0.0350659,-0.00744686,0.0169188,0.0130259,0.0145648,0.0343372,-0.0105533,0.0532823,0.00118532,-0.00281065,0.00632926,0.0180185,0.00157925,-0.00227266,0.0329533,TWF_1,2,1,0.0614783,0.0707969,0.0452675,-0.103198,0.0581563,0.0456781,-0.0557602,-0.101271,-0.0253532,0.0939893,0.0578346,0.0603933,0.0674272,0.0825647,0.0393873,-0.00181388,-0.0186684,-0.0398915,-0.0766435,0.020059,,,,,,,,,,,,
STA_Lsax_F_1,1,2,0.0469236,-0.00997978,0.0697481,-0.00548061,0.034241,-0.0289739,0.012148,-0.0522649,-0.0144154,0.0171816,0.0404731,-0.0149743,0.0751227,-0.0090133,0.0332506,-0.00700102,-0.0159431,-0.00110836,0.00040154,-0.04743,TWF_4,2,1,0.0547828,0.0717602,0.0460912,-0.0985625,0.0686905,0.0655229,-0.0594175,-0.107867,-0.0341064,0.103848,0.0523035,0.0599653,0.0675112,0.0775478,0.0453733,0.0065101,-0.0251995,-0.0450596,-0.0821579,0.021399,,,,,,,,,,,,
TCF_4,1,2,0.0527799,-0.0138187,0.060947,-0.00920787,0.0570393,-0.0680652,0.0358478,-0.0739923,-0.038182,0.00299874,0.0475968,-0.0195985,0.0708361,-0.0126144,0.0674046,-0.00828521,-0.0507864,0.00367071,0.00525261,-0.102287,W_sax_01_Ls,2,1,0.0347951,0.0152375,-0.0800121,0.149235,-0.0197244,0.181091,-0.0318914,0.0142019,0.0613565,-0.0179459,0.0392005,0.0256705,-0.100421,-0.106093,-0.0215945,0.206869,0.00850899,0.0335071,-0.0459935,0.0142757,,,,,,,,,,,,
