row,differ
Lsa_00003023,none
Lsa_00003023,none
Lsa_00003023,none
Lsa_00003023,none
Lsa_00003023,none
Lsa_00006052,none
Lsa_00006053,none
Lsa_00006056,none
Lsa_00006057,none
Lsa_00008905,none
Lsa_00008905,none
Lsa_00008905,none
Lsa_00008905,none
Lsa_00008905,none
Lsa_00008902,none
Lsa_00008902,none
Lsa_00008902,none
Lsa_00008902,none
Lsa_00008902,none
Lsa_00008902,none
Lsa_00008902,none
Lsa_00008902,none
Lsa_00008900,none
Lsa_00008901,none
Lsa_00008901,none
Lsa_00008909,none
Lsa_00008909,none
Lsa_00037315,foot
Lsa_00001885,none
Lsa_00001885,none
Lsa_00001885,none
Lsa_00001882,none
Lsa_00001882,none
Lsa_00001882,none
Lsa_00001882,none
Lsa_00001882,none
Lsa_00001882,none
Lsa_00001882,none
Lsa_00001882,none
Lsa_00034951,none
Lsa_00034951,none
Lsa_00034951,none
Lsa_00034951,none
Lsa_00034951,none
Lsa_00034956,none
Lsa_00034955,none
Lsa_00034958,none
Lsa_00034958,none
Lsa_00034958,none
Lsa_00055661,none
Lsa_00000594,none
Lsa_00000594,none
Lsa_00000594,none
Lsa_00000591,none
Lsa_00000591,none
Lsa_00000591,none
Lsa_00000591,none
Lsa_00013850,none
Lsa_00013850,none
Lsa_00019812,none
Lsa_00019812,none
Lsa_00019812,none
Lsa_00008277,none
Lsa_00008277,none
Lsa_00019818,none
Lsa_00017955,none
Lsa_00038928,repr
Lsa_00038924,none
Lsa_00038924,none
Lsa_00038923,none
Lsa_00038922,none
Lsa_00038922,none
Lsa_00038922,none
Lsa_00038922,none
Lsa_00038921,none
Lsa_00032448,none
Lsa_00032448,none
Lsa_00032448,none
Lsa_00032446,repr
Lsa_00032446,repr
Lsa_00032447,repr
Lsa_00001480,none
Lsa_00001480,none
Lsa_00028804,none
Lsa_00028800,none
Lsa_00028800,none
Lsa_00004037,none
Lsa_00001487,none
Lsa_00001487,none
Lsa_00001487,none
Lsa_00001314,none
Lsa_00017951,none
Lsa_00017951,none
Lsa_00017951,none
Lsa_00017951,none
Lsa_00017951,none
Lsa_00004032,none
Lsa_00025455,none
Lsa_00003291,none
Lsa_00003291,none
Lsa_00025456,none
Lsa_00034131,none
Lsa_00034131,none
Lsa_00034131,none
Lsa_00034132,none
Lsa_00006662,none
Lsa_00029172,none
Lsa_00029172,none
Lsa_00029172,none
Lsa_00054619,none
Lsa_00041138,none
Lsa_00013785,none
Lsa_00013785,none
Lsa_00034336,none
Lsa_00027699,repr
Lsa_00034337,none
Lsa_00010131,none
Lsa_00010131,none
Lsa_00010131,none
Lsa_00011375,none
Lsa_00011375,none
Lsa_00034334,none
Lsa_00021366,none
Lsa_00021366,none
Lsa_00021366,none
Lsa_00021361,none
Lsa_00021360,none
Lsa_00021360,none
Lsa_00021368,none
Lsa_00021368,none
Lsa_00021368,none
Lsa_00021368,none
Lsa_00021368,none
Lsa_00051357,repr
Lsa_00034332,none
Lsa_00020829,none
Lsa_00029288,none
Lsa_00029288,none
Lsa_00024464,none
Lsa_00031003,none
Lsa_00031003,none
Lsa_00029282,none
Lsa_00029282,none
Lsa_00024468,none
Lsa_00024468,none
Lsa_00024468,none
Lsa_00024468,none
Lsa_00024468,none
Lsa_00024468,none
Lsa_00023857,none
Lsa_00023855,none
Lsa_00023854,none
Lsa_00004229,none
Lsa_00004228,both
Lsa_00004221,none
Lsa_00004220,none
Lsa_00004226,repr
Lsa_00004226,repr
Lsa_00004226,repr
Lsa_00004226,repr
Lsa_00004226,repr
Lsa_00004226,repr
Lsa_00004224,none
Lsa_00029826,none
Lsa_00029826,none
Lsa_00029827,none
Lsa_00029827,none
Lsa_00029827,none
Lsa_00029827,none
Lsa_00029820,none
Lsa_00029820,none
Lsa_00029820,none
Lsa_00029820,none
Lsa_00025338,none
Lsa_00025338,none
Lsa_00025338,none
Lsa_00025338,none
Lsa_00025339,none
Lsa_00022108,none
Lsa_00022108,none
Lsa_00025336,none
Lsa_00025336,none
Lsa_00025336,none
Lsa_00025336,none
Lsa_00025336,none
Lsa_00025337,none
Lsa_00025337,none
Lsa_00025337,none
Lsa_00022103,none
Lsa_00022103,none
Lsa_00022103,none
Lsa_00004591,none
Lsa_00004591,none
Lsa_00004591,none
Lsa_00004591,none
Lsa_00004592,none
Lsa_00004597,none
Lsa_00023277,none
Lsa_00023275,none
Lsa_00023274,none
Lsa_00023274,none
Lsa_00023272,none
Lsa_00023272,none
