row,tissue_diff_2nd_analysis
Lsa_00034030,NA
Lsa_00034030,NA
Lsa_00052828,both
Lsa_00033829,NA
Lsa_00033829,NA
Lsa_00034034,NA
Lsa_00032034,arc
Lsa_00020060,NA
Lsa_00020060,NA
Lsa_00020060,NA
Lsa_00020060,NA
Lsa_00020060,NA
Lsa_00020060,NA
Lsa_00020060,NA
Lsa_00020064,NA
Lsa_00020064,NA
Lsa_00058391,NA
Lsa_00030434,NA
Lsa_00030434,NA
Lsa_00030434,NA
Lsa_00030434,NA
Lsa_00042152,NA
Lsa_00042152,NA
Lsa_00042152,NA
Lsa_00057700,NA
Lsa_00058974,NA
Lsa_00053010,NA
Lsa_00053018,NA
Lsa_00056250,NA
Lsa_00027513,NA
Lsa_00027513,NA
Lsa_00027513,NA
Lsa_00051703,NA
Lsa_00051701,NA
Lsa_00007315,NA
Lsa_00020938,NA
Lsa_00024359,NA
Lsa_00024359,NA
Lsa_00024359,NA
Lsa_00024359,NA
Lsa_00021082,NA
Lsa_00021080,NA
Lsa_00043684,NA
Lsa_00043688,NA
Lsa_00043689,NA
Lsa_00043354,NA
Lsa_00011232,NA
Lsa_00011232,NA
Lsa_00011232,NA
Lsa_00011232,NA
Lsa_00026195,NA
Lsa_00026194,NA
Lsa_00026196,NA
Lsa_00026196,NA
Lsa_00026196,NA
Lsa_00026191,both
Lsa_00026191,both
Lsa_00026191,both
Lsa_00026190,both
Lsa_00026193,arc
Lsa_00026193,arc
Lsa_00026192,both
Lsa_00026192,both
Lsa_00026192,both
Lsa_00026504,both
Lsa_00026504,both
Lsa_00026504,both
Lsa_00026504,both
Lsa_00026504,both
Lsa_00026504,both
Lsa_00026504,both
Lsa_00026504,both
Lsa_00026441,NA
Lsa_00026446,NA
Lsa_00026445,NA
Lsa_00026445,NA
Lsa_00026449,NA
Lsa_00026449,NA
Lsa_00026449,NA
Lsa_00022573,NA
Lsa_00010544,sax
Lsa_00010544,sax
Lsa_00010544,sax
Lsa_00010543,NA
Lsa_00060661,NA
Lsa_00024351,NA
Lsa_00024351,NA
Lsa_00024351,NA
Lsa_00027519,NA
Lsa_00027519,NA
Lsa_00027519,NA
Lsa_00024209,NA
Lsa_00024209,NA
Lsa_00027716,NA
Lsa_00027716,NA
Lsa_00027716,NA
Lsa_00027716,NA
Lsa_00023627,NA
Lsa_00013169,NA
Lsa_00013167,NA
Lsa_00013167,NA
Lsa_00053839,NA
Lsa_00053832,NA
Lsa_00045570,NA
Lsa_00045352,NA
Lsa_00004498,both
Lsa_00004499,both
Lsa_00004494,both
Lsa_00004494,both
Lsa_00004494,both
Lsa_00017115,NA
Lsa_00017115,NA
Lsa_00004496,both
Lsa_00004497,both
Lsa_00004490,both
Lsa_00004490,both
Lsa_00010320,NA
Lsa_00038052,NA
Lsa_00038054,NA
Lsa_00058249,NA
Lsa_00002893,NA
Lsa_00002891,NA
Lsa_00002897,NA
Lsa_00002894,NA
Lsa_00004722,NA
Lsa_00004722,NA
Lsa_00004722,NA
Lsa_00004722,NA
Lsa_00004722,NA
Lsa_00004722,NA
Lsa_00004722,NA
Lsa_00004722,NA
Lsa_00004720,NA
Lsa_00004720,NA
Lsa_00004720,NA
