"","pvt_brood_temp","pvt_egg_temp","fixed_temp","shared_temp","prop_pvt_brood_temp","prop_pvt_egg_temp","diff_p_priv_EggBrood","Gtest_p"
"42",1898,4311,353,422,0.818103448275862,0.910838791464188,0.0927353431883255,"TRUE"
"43",2143,4153,334,450,0.826455842653297,0.902237671084076,0.0757818284307783,"TRUE"
"44",1922,4265,343,459,0.80722385552289,0.902836579170195,0.0956127236473052,"TRUE"
"45",1940,4025,340,450,0.811715481171548,0.899441340782123,0.0877258596105748,"TRUE"
"46",2002,4441,335,468,0.810526315789474,0.904664901201874,0.0941385854124005,"TRUE"
"47",1953,4442,335,484,0.801395157981124,0.901745838408445,0.100350680427321,"TRUE"
"48",2058,4702,317,493,0.806742453939632,0.905101058710298,0.0983586047706668,"TRUE"
"49",1968,4663,333,479,0.804250102165917,0.90684558537534,0.102595483209423,"TRUE"
"50",2039,4590,332,429,0.826175040518639,0.914524805738195,0.0883497652195563,"TRUE"
"51",1938,4062,373,431,0.818066694807936,0.904073002448253,0.086006307640317,"TRUE"
"52",1937,4492,317,481,0.801075268817204,0.90327769957772,0.102202430760515,"TRUE"
"53",1859,4275,389,394,0.825122059476254,0.915613621760548,0.0904915622842944,"TRUE"
"54",1792,4491,338,420,0.810126582278481,0.914477703115455,0.104351120836974,"TRUE"
"55",2008,3995,346,429,0.823963890028724,0.903028933092224,0.0790650430635004,"TRUE"
"56",1829,4375,368,439,0.806437389770723,0.908807644370586,0.102370254599863,"TRUE"
"57",1901,4537,341,445,0.810315430520034,0.910678442392613,0.100363011872579,"TRUE"
"58",1814,4474,373,431,0.808017817371938,0.912130479102956,0.104112661731019,"TRUE"
"59",2124,4276,331,503,0.808526836695851,0.894747855199833,0.0862210185039818,"TRUE"
"60",1702,4620,342,468,0.784331797235023,0.908018867924528,0.123687070689505,"TRUE"
"61",1879,4357,376,431,0.813419913419913,0.909983291562239,0.0965633781423255,"TRUE"
"62",2243,4477,320,475,0.825239146431199,0.90407915993538,0.0788400135041802,"TRUE"
"63",1968,4540,334,475,0.805566925910766,0.905284147557328,0.0997172216465625,"TRUE"
"64",1977,3815,383,393,0.834177215189873,0.906606463878327,0.0724292486884536,"TRUE"
"65",1930,4346,336,460,0.807531380753138,0.904286308780691,0.0967549280275527,"TRUE"
"66",1902,3866,360,406,0.824090121317158,0.904962546816479,0.0808724254993216,"TRUE"
"67",2007,4300,321,485,0.8053772070626,0.898641588296761,0.0932643812341604,"TRUE"
"68",2031,4361,350,474,0.810778443113772,0.901964839710445,0.0911863965966723,"TRUE"
"69",1794,4011,350,436,0.804484304932735,0.901956375084326,0.0974720701515911,"TRUE"
"70",1731,4581,354,392,0.815355628827131,0.921174341443797,0.105818712616665,"TRUE"
"71",1946,4560,358,465,0.807133969307341,0.907462686567164,0.100328717259823,"TRUE"
"72",2162,4038,322,468,0.822053231939163,0.896138482023968,0.0740852500848046,"TRUE"
"73",1999,4296,378,416,0.827743271221532,0.911714770797963,0.0839714995764306,"TRUE"
"74",1827,4392,349,426,0.810918774966711,0.911581569115816,0.100662794149105,"TRUE"
"75",1908,4288,366,417,0.820645161290323,0.911370882040383,0.0907257207500599,"TRUE"
"76",1941,4306,360,450,0.811794228356336,0.9053826745164,0.093588446160064,"TRUE"
"77",1929,4608,316,483,0.799751243781095,0.905126694166176,0.105375450385081,"TRUE"
"78",2008,4473,346,475,0.808699154248892,0.904001616814875,0.0953024625659822,"TRUE"
"79",1855,3943,360,407,0.820070733863837,0.906436781609195,0.0863660477453581,"TRUE"
"80",2139,4492,317,504,0.809307604994325,0.899119295436349,0.0898116904420244,"TRUE"
"81",1864,4465,332,481,0.794882729211087,0.902749696724626,0.107866967513539,"TRUE"
"82",1791,4263,370,422,0.809308630817894,0.909925293489861,0.100616662671967,"TRUE"
"83",1836,4384,368,405,0.819277108433735,0.915431196491961,0.0961540880582258,"TRUE"
"84",1979,4531,329,466,0.809406952965235,0.906744046427857,0.0973370934626215,"TRUE"
"85",2088,4592,325,519,0.800920598388953,0.898454314224222,0.0975337158352695,"TRUE"
"86",1935,4329,340,477,0.802238805970149,0.900749063670412,0.0985102577002627,"TRUE"
"87",1584,4754,371,427,0.787667826951765,0.917583478093032,0.129915651141267,"TRUE"
"88",1842,4633,372,398,0.822321428571429,0.920890479030014,0.0985690504585853,"TRUE"
"89",1842,4285,375,393,0.824161073825503,0.915989739204788,0.0918286653792849,"TRUE"
"90",1761,3962,389,387,0.819832402234637,0.911014026212922,0.0911816239782857,"TRUE"
"91",1583,4635,393,368,0.811378780112763,0.926444133519888,0.115065353407125,"TRUE"
"92",1952,4039,370,390,0.833475661827498,0.91194400541883,0.0784683435913326,"TRUE"
"93",1937,4334,338,477,0.802402651201326,0.90085221367699,0.0984495624756646,"TRUE"
"94",1685,4536,353,425,0.798578199052133,0.914331787945979,0.115753588893846,"TRUE"
"95",2073,4505,336,473,0.814218381775334,0.90498192044998,0.090763538674646,"TRUE"
"96",1867,4160,348,431,0.812445604873803,0.906120670877804,0.093675066004001,"TRUE"
"97",1883,4392,365,445,0.808848797250859,0.908000826958859,0.0991520297079996,"TRUE"
"98",1924,3498,408,375,0.836885602435842,0.903175832687839,0.0662902302519972,"TRUE"
"99",1944,4273,361,410,0.825828377230246,0.912449284646594,0.0866209074163476,"TRUE"
"100",1946,4715,324,469,0.805797101449275,0.909529320987654,0.103732219538379,"TRUE"
"101",1796,4253,344,443,0.802143814202769,0.905664395229983,0.103520581027214,"TRUE"
"102",1961,4292,364,429,0.820502092050209,0.909129421732684,0.0886273296824746,"TRUE"
"103",1526,4541,390,333,0.820871436256052,0.931678292983176,0.110806856727124,"TRUE"
"104",1718,4547,368,403,0.80999528524281,0.918585858585859,0.108590573343049,"TRUE"
"105",1765,4449,356,418,0.808520384791571,0.914115471543045,0.105595086751474,"TRUE"
"106",1976,4223,334,433,0.820257368202574,0.907001718213058,0.0867443500104847,"TRUE"
"107",1939,4472,357,398,0.829696191698759,0.918275154004107,0.0885789623053477,"TRUE"
"108",1637,4692,373,390,0.807597434632462,0.923258559622196,0.115661124989734,"TRUE"
"109",1995,4468,323,470,0.809330628803245,0.90481976508708,0.0954891362838344,"TRUE"
"110",1985,4381,365,463,0.810866013071895,0.904417836498761,0.093551823426866,"TRUE"
"111",1924,4289,348,448,0.811129848229342,0.905425374709732,0.0942955264803896,"TRUE"
"112",1724,4239,358,399,0.81205840791333,0.913971539456662,0.101913131543332,"TRUE"
"113",1857,4046,355,415,0.817341549295775,0.90697153104685,0.0896299817510758,"TRUE"
"114",1852,4442,353,458,0.801731601731602,0.906530612244898,0.104799010513296,"TRUE"
"115",1800,4345,337,451,0.799644602398934,0.905963302752294,0.10631870035336,"TRUE"
"116",1975,4173,359,404,0.830180748213535,0.911732575923094,0.0815518277095587,"TRUE"
