"","S_pvt_north_temp","S_pvt_spain_temp","S_shared_temp","S_prop_pvt_north_temp","S_prop_pvt_spain_temp","S_count_higher_spain_temp","S_prop_higer_spain_temp","diff_p_priv_SpainNorth","S_Gtest_p"
"60",919,982,273,0.770973154362416,0.782470119521912,1,1,0.0114969651594963,"TRUE"
"61",1125,1081,311,0.783426183844011,0.776580459770115,0,0,-0.00684572407389628,"TRUE"
"62",946,1158,294,0.762903225806452,0.797520661157025,1,1,0.0346174353505732,"TRUE"
"63",1107,895,246,0.818181818181818,0.784399649430324,0,0,-0.033782168751494,"TRUE"
"64",1051,998,299,0.778518518518518,0.76946800308404,0,0,-0.00905051543447843,"TRUE"
"65",745,1127,265,0.737623762376238,0.809626436781609,1,1,0.0720026744053716,"TRUE"
"66",1002,1186,312,0.762557077625571,0.791722296395194,1,1,0.0291652187696227,"TRUE"
"67",945,1165,319,0.747626582278481,0.785040431266846,1,1,0.0374138489883653,"TRUE"
"68",760,953,259,0.745829244357213,0.786303630363036,1,1,0.0404743860058233,"TRUE"
"69",1046,1013,275,0.791824375473126,0.786490683229814,0,0,-0.00533369224331282,"TRUE"
"70",993,976,282,0.778823529411765,0.775834658187599,0,0,-0.00298887122416536,"TRUE"
"71",1174,985,299,0.797012898845893,0.767133956386293,0,0,-0.0298789424596,"TRUE"
"72",967,1060,291,0.768680445151033,0.78460399703923,1,1,0.0159235518881968,"TRUE"
"73",824,986,264,0.757352941176471,0.7888,1,1,0.0314470588235294,"TRUE"
"74",1062,1213,322,0.767341040462428,0.790228013029316,1,1,0.0228869725668882,"TRUE"
"75",775,976,272,0.740210124164279,0.782051282051282,1,1,0.0418411578870032,"TRUE"
"76",1140,1042,308,0.787292817679558,0.771851851851852,0,0,-0.0154409658277062,"TRUE"
"77",972,1034,276,0.778846153846154,0.789312977099237,1,1,0.0104668232530828,"TRUE"
"78",967,1032,284,0.772981614708233,0.78419452887538,1,1,0.0112129141671465,"TRUE"
"79",917,1041,299,0.754111842105263,0.776865671641791,1,1,0.0227538295365279,"TRUE"
"80",998,935,228,0.814029363784666,0.803955288048151,0,0,-0.0100740757365143,"TRUE"
"81",920,1059,278,0.767946577629382,0.792071802543007,1,1,0.0241252249136243,"TRUE"
"82",963,1184,315,0.753521126760563,0.789859906604403,1,1,0.0363387798438396,"TRUE"
"83",871,1133,311,0.736886632825719,0.784626038781163,1,1,0.0477394059554443,"TRUE"
"84",984,1146,318,0.755760368663594,0.782786885245902,1,1,0.0270265165823073,"TRUE"
"85",936,1075,296,0.75974025974026,0.784099197665937,1,1,0.0243589379256776,"TRUE"
"86",738,1196,286,0.720703125,0.807017543859649,1,1,0.0863144188596491,"TRUE"
"87",986,937,263,0.789431545236189,0.780833333333333,0,0,-0.00859821190285559,"TRUE"
"88",1002,1004,270,0.787735849056604,0.78806907378336,1,1,0.000333224726755788,"TRUE"
"89",958,1106,304,0.759112519809826,0.784397163120567,1,1,0.0252846433107418,"TRUE"
"90",1001,869,277,0.783255086071987,0.758289703315881,0,0,-0.0249653827561062,"TRUE"
"91",1034,1173,311,0.768773234200744,0.790431266846361,1,1,0.0216580326456177,"TRUE"
"92",1081,1197,323,0.76994301994302,0.7875,1,1,0.01755698005698,"TRUE"
"93",970,941,242,0.8003300330033,0.795435333896872,0,0,-0.00489469910642792,"TRUE"
"94",965,1034,267,0.783279220779221,0.794773251345119,1,1,0.0114940305658984,"TRUE"
"95",1112,1084,324,0.774373259052925,0.769886363636364,0,0,-0.00448689541656111,"TRUE"
"96",933,854,254,0.786015164279697,0.770758122743682,0,0,-0.0152570415360145,"TRUE"
"97",976,1039,307,0.760717069368667,0.771916790490342,1,1,0.0111997211216746,"TRUE"
"98",1125,1101,297,0.791139240506329,0.78755364806867,0,0,-0.00358559243765955,"TRUE"
"99",971,977,268,0.783696529459241,0.784738955823293,1,1,0.00104242636405194,"TRUE"
"100",1012,1039,289,0.777863182167563,0.782379518072289,1,1,0.00451633590472567,"TRUE"
"101",923,1016,289,0.761551155115512,0.778544061302682,1,1,0.0169929061871704,"TRUE"
"102",1023,809,264,0.794871794871795,0.753960857409133,0,0,-0.0409109374626615,"TRUE"
"103",963,853,271,0.780388978930308,0.758896797153025,0,0,-0.021492181777283,"TRUE"
"104",887,754,204,0.81301558203483,0.78705636743215,0,0,-0.0259592146026801,"TRUE"
"105",959,984,291,0.7672,0.771764705882353,1,1,0.00456470588235292,"TRUE"
"106",1064,859,261,0.803018867924528,0.766964285714286,0,0,-0.0360545822102425,"TRUE"
"107",808,1116,268,0.75092936802974,0.80635838150289,1,1,0.0554290134731504,"TRUE"
