"","pvt_brood_temp","pvt_egg_temp","fixed_temp","shared_temp","prop_pvt_brood_temp","prop_pvt_egg_temp","count_higher_egg_temp","prop_higer_egg_temp"
"29",2037,4938,306,538,0.791067961165049,0.901753104455807,1,1
"30",1914,5030,327,446,0.811016949152542,0.918553688823959,1,1
"31",1799,5009,321,467,0.793909973521624,0.914718772826881,1,1
"32",1839,4996,317,480,0.793014230271669,0.912344777209642,1,1
"33",1754,4988,313,488,0.782337198929527,0.910883856829803,1,1
"34",1734,5021,324,455,0.792142530835998,0.91691015339664,1,1
"35",1499,5045,332,431,0.776683937823834,0.921292914536158,1,1
"36",1874,4981,319,495,0.791051076403546,0.909605551497443,1,1
"37",2265,4920,296,556,0.802906770648706,0.898466033601169,1,1
"38",1989,4981,321,495,0.800724637681159,0.909605551497443,1,1
"39",2013,4986,318,490,0.804234918098282,0.910518626734843,1,1
"40",1829,5019,313,457,0.800087489063867,0.91654492330168,1,1
"41",1951,4963,311,513,0.791801948051948,0.906318480642805,1,1
"42",1932,4997,313,479,0.801327250103691,0.912527392257122,1,1
"43",1798,5018,327,458,0.796985815602837,0.9163623082542,1,1
"44",1850,5021,325,455,0.802603036876356,0.91691015339664,1,1
"45",1579,5045,341,431,0.785572139303483,0.921292914536158,1,1
"46",1995,4953,307,523,0.792295472597299,0.904492330168006,1,1
"47",1787,5013,309,463,0.794222222222222,0.915449233016801,1,1
"48",1775,5009,306,467,0.791703835860839,0.914718772826881,1,1
"49",2040,4982,319,494,0.805051302288871,0.909788166544923,1,1
"50",1843,5013,318,463,0.799219427580225,0.915449233016801,1,1
"51",1780,5034,337,442,0.801080108010801,0.919284149013879,1,1
"52",2070,4963,306,513,0.801393728222996,0.906318480642805,1,1
"53",2053,4975,311,501,0.803837118245889,0.908509861212564,1,1
"54",1756,5015,311,461,0.792061344158773,0.91581446311176,1,1
"55",2025,4954,325,522,0.795053003533569,0.904674945215486,1,1
"56",1940,4977,319,499,0.795407954079541,0.908875091307524,1,1
"57",1676,5041,341,435,0.793936522974893,0.920562454346238,1,1
"58",1786,5010,332,466,0.793072824156306,0.914901387874361,1,1
"59",1771,5024,330,452,0.796671165092218,0.91745799853908,1,1
"60",1702,5016,335,460,0.787234042553192,0.91599707815924,1,1
"61",1867,5001,305,475,0.797181895815542,0.913257852447042,1,1
"62",1746,5016,313,460,0.791477787851315,0.91599707815924,1,1
"63",1927,4970,323,506,0.792026304973284,0.907596785975164,1,1
"64",1928,4974,319,502,0.793415637860082,0.908327246165084,1,1
"65",2091,4925,301,551,0.791445874337623,0.899379108838568,1,1
"66",1695,4999,312,477,0.780386740331492,0.912892622352082,1,1
"67",1940,4973,309,503,0.794105607859189,0.908144631117604,1,1
"68",1824,5018,332,458,0.799298860648554,0.9163623082542,1,1
"69",2075,4943,309,533,0.795628834355828,0.902666179693207,1,1
"70",1831,5018,332,458,0.799912625600699,0.9163623082542,1,1
"71",1875,4985,321,491,0.792476754015216,0.910336011687363,1,1
"72",1908,4970,328,506,0.790389395194698,0.907596785975164,1,1
"73",2017,4948,314,528,0.792534381139489,0.903579254930606,1,1
"74",2107,4936,322,540,0.795995466565924,0.901387874360847,1,1
"75",1791,4970,317,506,0.779712668698302,0.907596785975164,1,1
"76",1824,5019,328,457,0.799649276633056,0.91654492330168,1,1
"77",1820,5001,311,475,0.793028322440087,0.913257852447042,1,1
"78",1893,5013,328,463,0.803480475382003,0.915449233016801,1,1
"79",2054,4956,322,520,0.797979797979798,0.905040175310446,1,1
"80",1718,5022,314,454,0.79097605893186,0.91709276844412,1,1
"81",1968,4997,322,479,0.804250102165917,0.912527392257122,1,1
"82",1841,5011,329,465,0.798352124891587,0.915084002921841,1,1
"83",1965,4939,313,537,0.78537170263789,0.901935719503287,1,1
"84",1949,5006,323,470,0.805704836709384,0.914170927684441,1,1
"85",1832,5032,338,444,0.804920913884007,0.918918918918919,1,1
"86",1662,5071,339,405,0.804063860667634,0.926040905770635,1,1
"87",1999,4979,322,497,0.80088141025641,0.909240321402484,1,1
"88",1858,5042,325,434,0.81064572425829,0.920745069393718,1,1
"89",1857,5000,314,476,0.795970852978997,0.913075237399562,1,1
"90",2071,4961,303,515,0.800850734725445,0.905953250547845,1,1
"91",1803,5016,336,460,0.796730004418913,0.91599707815924,1,1
"92",2109,4942,297,534,0.797956867196368,0.902483564645727,1,1
"93",1843,5009,323,467,0.797835497835498,0.914718772826881,1,1
"94",1679,5022,337,454,0.787154242850445,0.91709276844412,1,1
"95",1628,5060,349,416,0.796477495107632,0.924032140248356,1,1
"96",1708,5034,334,442,0.794418604651163,0.919284149013879,1,1
"97",2005,4962,303,514,0.795950774116713,0.906135865595325,1,1
"98",2088,4976,312,500,0.806800618238022,0.908692476260044,1,1
"99",1797,5000,330,476,0.790585129784426,0.913075237399562,1,1
"100",1768,5024,324,452,0.796396396396396,0.91745799853908,1,1
"101",1823,5039,328,437,0.806637168141593,0.920197224251278,1,1
"102",1826,5026,323,450,0.802284710017575,0.917823228634039,1,1
"103",1957,4953,316,523,0.789112903225806,0.904492330168006,1,1
"104",1949,4988,318,488,0.79975379565039,0.910883856829803,1,1
"105",2116,4974,311,502,0.808250572956455,0.908327246165084,1,1
"106",1761,5031,325,445,0.798277425203989,0.918736303871439,1,1
"107",2083,4940,308,536,0.795341733486063,0.902118334550767,1,1
"108",2162,4969,318,507,0.810041213937804,0.907414170927684,1,1
"109",2116,4944,313,532,0.799093655589124,0.902848794740687,1,1
"110",1919,4981,318,495,0.794946147473074,0.909605551497443,1,1
"111",1900,4991,325,485,0.79664570230608,0.911431701972243,1,1
"112",1857,4971,318,505,0.786198137171888,0.907779401022644,1,1
"113",1857,5010,325,466,0.799397331037452,0.914901387874361,1,1
"114",1912,4997,333,479,0.799665411961522,0.912527392257122,1,1
"115",2098,4951,310,525,0.799847502859321,0.904127100073046,1,1
"116",1938,4947,303,529,0.785569517632752,0.903396639883126,1,1
"117",1603,5058,353,418,0.793171697179614,0.923666910153397,1,1
"118",1573,5040,329,436,0.782976605276257,0.920379839298758,1,1
"119",1681,5036,322,440,0.792550683639793,0.919649379108839,1,1
"120",1809,5003,322,473,0.792725679228747,0.913623082542001,1,1
"121",1983,4987,311,489,0.802184466019418,0.910701241782323,1,1
"122",1663,5043,338,433,0.793416030534351,0.920927684441198,1,1
